,NAME,RATING,DATE,SERVICE
1,괴이,30.23%,2022,티빙
3,별똥별,90%,2022,티빙
18,군검사 도베르만,73.53%,2022,티빙
5,살인자의 쇼핑목록,86.67%,2022,티빙
12,돼지의 왕,97.44%,2022,티빙
9,어게인 마이 라이프,83.33%,2022,웨이브
17,트레이서 시즌 2,92.31%,2022,웨이브
15,악의 마음을 읽는 자들,95.41%,2022,웨이브
20,태종 이방원,92.31%,2021,웨이브
6,"지금부터, 쇼타임!",80%,2022,웨이브
16,시맨틱 에러,84.62%,2022,왓챠
13,문 나이트,90.16%,2022,디즈니+
10,브리저튼 시즌 2,78.26%,2022,넷플릭스
8,내일,78.38%,2022,넷플릭스
14,스물다섯 스물하나,88.75%,2021,넷플릭스
7,우리들의 블루스,84.31%,2022,넷플릭스
4,스파이 패밀리,90.91%,2022,넷플릭스
19,사내맞선,91.92%,2022,넷플릭스
11,소년비행,87.5%,2022,seezn
2,나의 해방 일지,87.5%,2022,U+모바일tv
